Name,Team,G,QBRat,Comp,Att,Pct,Pass Yds,Pass YG,Yds Att,TD,Int,Rush,Rush Yds,Rush YG,Rush Avg,Rush TD,Sack,Sack Yds,Fum,FumL
Charlie Whitehurst,SEA,6,65.5,57,99,57.6,507,84.5,5.1,2,3,20,43,7.2,2.2,1,5,13,2,0
Tarvaris Jackson,MIN,3,63.9,34,58,58.6,341,113.7,5.9,3,4,7,63,21.0,9.0,0,6,43,1,0
Jake Delhomme,CLE,5,63.4,93,149,62.4,872,174.4,5.9,2,7,8,-2,-0.4,-0.3,0,6,49,3,1
John Skelton,ARI,5,62.3,60,126,47.6,662,132.4,5.3,2,2,10,49,9.8,4.9,0,9,65,3,1
Tony Pike,CAR,1,60.1,6,12,50.0,47,47.0,3.9,0,0,0,0,0.0,,0,1,10,0,0
Jimmy Clausen,CAR,13,58.4,157,299,52.5,1558,119.8,5.2,3,9,23,57,4.4,2.5,0,33,223,9,2
Richard Bartel,ARI,1,57.1,16,28,57.1,150,150.0,5.4,0,1,0,0,0.0,,0,2,12,0,0
Kellen Clemens,NYJ,1,56.3,1,2,50.0,6,6.0,3.0,0,0,2,9,9.0,4.5,1,0,0,0,0
Matt Moore,CAR,6,55.6,79,143,55.2,857,142.8,6.0,5,10,5,25,4.2,5.0,0,13,90,4,2
Trent Edwards,BUF,2,54.9,55,101,54.5,521,104.2,5.2,2,5,14,58,11.6,4.1,0,11,95,0,0
Levi Brown,BUF,1,51.4,2,3,66.7,24,24.0,8.0,0,1,0,0,0.0,,0,0,0,0,0
Brian St. Pierre,CAR,1,48.7,13,28,46.4,173,173.0,6.2,1,2,0,0,0.0,,0,3,23,0,0
Max Hall,ARI,6,35.7,39,78,50.0,370,61.7,4.7,1,6,1,-5,-0.8,-5.0,0,14,90,5,2
Kyle Boller,OAK,5,30.2,2,4,50.0,25,5.0,6.3,0,1,7,18,3.6,2.6,0,1,6,1,0
Brodie Croyle,KAN,2,27.7,8,19,42.1,38,19.0,2.0,0,1,0,0,0.0,,0,4,29,0,0
Rusty Smith,TEN,2,25.0,20,40,50.0,200,100.0,5.0,0,4,0,0,0.0,,0,1,0,0,0
David Carr,SFO,1,23.6,5,13,38.5,67,67.0,5.2,0,1,0,0,0.0,,0,1,5,0,0
Brian Brohm,BUF,1,17.9,10,23,43.5,106,106.0,4.6,0,3,0,0,0.0,,0,3,5,1,1
Todd Collins,CHI,2,5.9,10,27,37.0,68,34.0,2.5,0,5,0,0,0.0,,0,2,15,0,0
Sage Rosenfels,NYG,12,0.0,0,0,,0,0.0,,0,0,3,-3,-0.3,-1.0,0,0,0,0,0
Dan Orlovsky,HOU,1,0.0,0,0,,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0
