Team,G,KO,Avg,TB,Ret,Avg,RetTD
Carolina Panthers,16,76,63.6,37,39,18.9,0
Cleveland Browns,16,75,64.7,30,43,19.8,0
New England Patriots,16,111,65.4,52,60,20.5,0
Chicago Bears,16,85,66.2,49,37,20.7,0
New York Jets,16,67,64.8,12,54,21.9,1
Dallas Cowboys,16,79,64.8,30,50,22.0,1
Denver Broncos,16,99,64.3,65,34,22.1,0
Atlanta Falcons,16,93,65.9,45,48,22.2,0
Buffalo Bills,16,71,63.4,20,51,22.4,1
San Diego Chargers,16,76,66.5,30,45,22.6,0
Seattle Seahawks,16,86,67.1,36,50,22.9,0
Washington Redskins,16,89,64.9,33,55,23.0,0
Baltimore Ravens,16,86,69.5,49,37,23.2,0
Detroit Lions,16,85,63.2,30,52,23.3,2
Green Bay Packers,16,87,65.4,35,51,23.4,0
New York Giants,16,93,64.9,24,70,23.7,0
Pittsburgh Steelers,16,75,63.8,29,46,24.0,0
Minnesota Vikings,16,86,68.1,53,33,24.1,0
St. Louis Rams,16,67,67.3,37,30,24.3,0
Cincinnati Bengals,16,87,67.0,27,60,24.5,1
Indianapolis Colts,16,79,69.1,45,34,24.7,0
Philadelphia Eagles,16,67,65.5,26,41,24.7,0
Miami Dolphins,16,69,66.7,34,35,24.8,1
New Orleans Saints,16,88,66.4,45,42,25.0,1
Tampa Bay Buccaneers,16,85,67.1,58,27,25.2,0
Kansas City Chiefs,16,56,66.4,27,27,25.6,0
Houston Texans,16,90,63.9,28,62,25.7,2
Jacksonville Jaguars,16,66,67.1,26,39,25.9,0
Tennessee Titans,16,71,66.0,37,33,26.1,1
Arizona Cardinals,16,61,65.1,29,32,26.4,0
San Francisco 49ers,16,88,66.3,40,48,26.9,0
Oakland Raiders,16,66,67.5,38,30,28.9,2
