Name,Team,G,Rush,Rush Yds,Rush YG,Rush Avg,Rush TD,Rec,Rec Tgt,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC,Rec 1stD,Rec TD,Fum,FumL
Fred Taylor,NWE,7,43,155,22.1,3.6,0,2,3,6,0.9,3.0,7,2.5,0,0,0,0
Reggie Bush,NOR,8,36,150,18.8,4.2,0,34,42,208,26.0,6.1,20,6.1,10,1,0,0
Ladell Betts,NOR,8,45,150,18.8,3.3,2,23,30,141,17.6,6.1,25,7.5,6,0,1,1
Correll Buckhalter,DEN,15,59,147,9.8,2.5,2,28,39,240,16.0,8.6,23,9.5,9,2,1,1
Kevin Smith,DET,6,34,133,22.2,3.9,0,11,16,123,20.5,11.2,27,9.6,7,0,0,0
Marcel Reece,OAK,16,30,122,7.6,4.1,1,25,43,333,20.8,13.3,73,12.1,12,3,1,1
LaRod Stephens-Howling,ARI,13,23,113,8.7,4.9,1,16,23,111,8.5,6.9,13,6.5,8,0,0,0
Javarris James,IND,10,46,112,11.2,2.4,6,9,11,63,6.3,7.0,11,9.1,3,0,1,1
Kenneth Darby,STL,14,34,107,7.6,3.1,2,10,13,61,4.4,6.1,21,7.7,2,1,0,0
James Starks,GNB,3,29,101,33.7,3.5,0,2,4,15,5.0,7.5,12,6.0,1,0,0,0
Leon Washington,SEA,16,27,100,6.3,3.7,1,9,13,79,4.9,8.8,28,8.3,3,0,0,0
Earnest Graham,TAM,12,20,99,8.3,5.0,1,16,18,130,10.8,8.1,46,7.6,3,1,1,1
Mike Bell,CLE,11,47,99,6.2,2.1,0,7,10,67,4.2,9.6,28,9.1,4,0,2,0
Mewelde Moore,PIT,15,33,99,6.6,3.0,0,26,31,205,13.7,7.9,29,8.3,10,0,0,0
Dimitri Nance,GNB,12,36,95,7.9,2.6,0,3,4,30,2.5,10.0,14,11.7,2,0,0,0
Stefan Logan,DET,16,15,95,5.9,6.3,0,0,1,0,0.0,,0,,0,0,0,0
Steve Slaton,HOU,12,19,93,7.8,4.9,0,3,4,11,0.9,3.7,12,6.7,1,0,0,0
Le'Ron McClain,BAL,15,28,85,5.7,3.0,0,21,26,134,8.9,6.4,19,7.6,6,0,0,0
Michael Robinson,SEA,11,12,77,7.0,6.4,0,8,13,37,3.4,4.6,13,5.4,0,0,0,0
Jerome Felton,DET,16,22,76,4.8,3.5,0,8,15,54,3.4,6.8,19,8.0,3,0,1,1
Laurence Maroney,DEN,4,36,74,18.5,2.1,0,4,7,50,12.5,12.5,28,12.8,2,0,1,0
D.J. Ware,NYG,14,20,73,5.2,3.7,0,7,9,67,4.8,9.6,18,8.6,3,0,0,0
Tyrell Sutton,CAR,9,13,71,7.9,5.5,0,12,12,70,7.8,5.8,14,5.7,3,0,0,0
Eldra Buckley,PHI,16,21,67,4.2,3.2,0,1,2,10,0.6,10.0,10,6.0,0,0,1,1
Lousaka Polite,MIA,16,26,62,3.9,2.4,1,12,17,61,3.8,5.1,14,4.2,3,0,0,0
Brian Leonard,CIN,11,9,61,5.5,6.8,0,20,26,137,12.5,6.9,20,6.5,9,1,0,0
Jacob Hester,SDG,15,26,60,4.0,2.3,0,22,26,145,9.7,6.6,21,7.5,9,1,0,0
James Davis,CLE,4,19,60,8.6,3.2,0,4,5,45,6.4,11.3,28,14.5,1,0,0,0
Aaron Brown,DET,6,17,58,9.7,3.4,0,8,13,45,7.5,5.6,10,3.3,3,0,0,0
Sammy Morris,NWE,16,20,56,3.5,2.8,0,7,12,77,4.8,11.0,22,10.9,4,0,0,0
Keith Toston,STL,16,19,54,3.4,2.8,0,2,2,29,1.8,14.5,23,16.5,1,0,0,0
Jackie Battle,KAN,16,20,50,3.1,2.5,1,1,3,9,0.6,9.0,9,7.0,0,0,0,0
Kevin Faulk,NWE,2,8,45,22.5,5.6,0,6,10,62,31.0,10.3,21,7.5,2,0,0,0
