Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Lng,YAC,Rec.1stD,Rec.TD,KR,KR.Yds,KR.Avg,KR.Long,KR.TD,PR,PR.Yds,PR.Avg,PR.Long,PR.TD,Fum,FumL,year
Mike Thomas,JAC,16,66,101,820,51.3,12.4,50,4.7,38,4,0,0,NA,0,0,34,358,10.5,78,1,0,0,2010
Davone Bess,MIA,16,79,125,820,51.3,10.4,29,4.2,43,5,0,0,NA,0,0,25,284,11.4,47,0,0,0,2010
Deion Branch,NWE,11,61,92,818,54.5,13.4,79,4.8,43,6,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Derrick Mason,BAL,16,61,100,802,50.1,13.1,42,2.2,44,7,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Pierre Garcon,IND,14,67,118,784,56,11.7,57,4,41,6,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Kenny Britt,TEN,12,42,73,775,64.6,18.5,80,3.1,33,9,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Lance Moore,NOR,16,66,95,763,47.7,11.6,80,4.3,40,8,0,0,NA,0,0,11,112,10.2,72,0,1,1,2010
Hines Ward,PIT,16,59,93,755,47.2,12.8,43,4.4,35,5,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Mike Williams,SEA,14,65,110,751,53.6,11.6,68,3.4,40,2,0,0,0,0,0,0,0,0,0,0,0,0,2010
Santonio Holmes,NYJ,12,52,95,746,62.2,14.3,52,4.7,36,6,0,0,NA,0,0,4,40,10,14,0,2,2,2010
Michael Crabtree,SFO,16,55,101,741,46.3,13.5,60,5.8,40,6,1,0,0,0,0,0,0,NA,0,0,0,0,2010
Steve Breaston,ARI,13,47,87,718,55.2,15.3,37,3.9,32,1,7,162,23.1,27,0,0,0,NA,0,0,0,0,2010
Malcom Floyd,SDG,11,37,77,717,65.2,19.4,55,3.3,33,6,0,0,0,0,0,0,0,0,0,0,1,0,2010
Joshua Morgan,SFO,16,44,80,698,43.6,15.9,65,6.8,27,2,2,19,9.5,13,0,0,0,NA,0,0,1,1,2010
Danny Amendola,STL,16,85,123,689,43.1,8.1,36,4.6,35,3,50,1142,22.8,84,0,40,452,11.3,42,0,1,1,2010
Nate Washington,TEN,16,42,94,687,42.9,16.4,71,3,34,6,0,0,0,0,0,0,0,0,0,0,0,0,2010
James Jones,GNB,16,50,87,679,42.4,13.6,66,6.1,33,5,0,0,0,0,0,0,0,0,0,0,3,1,2010
Austin Collie,IND,9,58,71,649,72.1,11.2,73,5.4,32,8,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Robert Meachem,NOR,16,44,66,638,39.9,14.5,55,3,27,5,0,0,NA,0,0,0,0,NA,0,0,1,0,2010
Eddie Royal,DEN,16,59,105,627,39.2,10.6,41,6.9,32,3,5,107,21.4,33,0,25,298,11.9,33,0,2,1,2010
Nate Burleson,DET,14,55,86,625,44.6,11.4,58,5.8,32,6,1,0,0,0,0,0,0,NA,0,0,2,2,2010
Kevin Walter,HOU,16,51,80,621,38.8,12.2,35,2.9,33,5,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Brandon Gibson,STL,14,53,91,620,44.3,11.7,41,4.4,33,2,0,0,0,0,0,0,0,0,0,0,0,0,2010
Brian Hartline,MIA,12,43,73,615,51.3,14.3,54,5.2,27,1,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Louis Murphy,OAK,14,41,78,609,43.5,14.9,70,5.6,27,2,0,0,0,0,0,0,0,0,0,0,2,1,2010
Jordan Shipley,CIN,15,52,74,600,40,11.5,64,4,30,3,0,0,0,0,0,0,0,0,0,0,0,0,2010
Jordy Nelson,GNB,16,45,64,582,36.4,12.9,80,5.9,25,2,22,496,22.5,51,0,0,0,NA,0,0,1,1,2010
Lee Evans,BUF,13,37,83,578,44.5,15.6,54,3.6,26,4,0,0,0,0,0,0,0,0,0,0,2,1,2010
Jason Avant,PHI,16,51,74,573,35.8,11.2,34,3.8,31,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Donald Driver,GNB,15,51,86,565,37.7,11.1,61,3.7,29,4,1,0,0,0,0,0,0,NA,0,0,1,1,2010
Mike Sims-Walker,JAC,14,43,80,562,40.1,13.1,39,3,33,7,0,0,0,0,0,0,0,0,0,0,1,1,2010
Jacoby Jones,HOU,15,51,78,562,37.5,11,47,4.7,31,3,23,494,21.5,35,0,29,204,7,39,0,1,0,2010
Dez Bryant,DAL,12,45,72,561,46.8,12.5,46,4.7,27,6,12,293,24.4,43,0,15,215,14.3,93,2,0,0,2010
Earl Bennett,CHI,14,46,70,561,40.1,12.2,48,4.8,27,3,0,0,NA,0,0,0,0,NA,0,0,1,0,2010
Steve Smith,CAR,14,46,99,554,39.6,12,39,4.9,24,2,0,0,NA,0,0,6,46,7.7,32,0,2,2,2010
Roy Williams,DAL,15,37,64,530,35.3,14.3,63,5.8,25,5,0,0,0,0,0,0,0,0,0,0,3,2,2010
Steve Smith,NYG,9,48,75,529,58.8,11,45,2.4,29,3,0,0,0,0,0,0,0,0,0,0,0,0,2010
Patrick Crayton,SDG,9,28,42,514,57.1,18.4,49,8.1,24,1,1,31,31,31,0,2,23,11.5,13,0,0,0,2010
David Gettis,CAR,15,37,67,508,33.9,13.7,88,4.7,24,3,9,159,17.7,28,0,0,0,NA,0,0,0,0,2010
Michael Jenkins,ATL,11,41,73,505,45.9,12.3,43,2.2,29,2,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Ben Obomanu,SEA,15,30,49,494,32.9,16.5,87,6.2,17,4,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Mohamed Massaquoi,CLE,15,36,74,483,32.2,13.4,41,4.2,24,2,0,0,0,0,0,0,0,0,0,0,1,1,2010
Devin Hester,CHI,16,40,73,475,29.7,11.9,39,5.8,23,4,12,427,35.6,79,0,33,564,17.1,89,3,0,0,2010
Jacoby Ford,OAK,16,25,54,470,29.4,18.8,52,5.2,19,2,53,1280,24.2,101,3,0,0,NA,0,0,0,0,2010
Brandon LaFell,CAR,14,38,77,468,33.4,12.3,44,3.9,23,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
Devery Henderson,NOR,16,34,59,464,29,13.6,57,4.1,21,1,6,142,23.7,27,0,0,0,NA,0,0,0,0,2010
Jerricho Cotchery,NYJ,14,41,86,433,30.9,10.6,49,3,26,2,0,0,NA,0,0,8,66,8.3,19,0,0,0,2010
Brandon Tate,NWE,16,24,46,432,27,18,65,6.2,14,3,41,1057,25.8,103,2,1,4,4,4,0,1,1,2010
Roscoe Parrish,BUF,8,33,53,400,50,12.1,37,3.9,20,2,0,0,NA,0,0,12,131,10.9,33,0,1,0,2010
T.J. Houshmandzadeh,BAL,16,30,57,398,24.9,13.3,56,3,19,3,0,0,NA,0,0,0,0,NA,0,0,1,0,2010
Arrelious Benn,TAM,15,25,38,395,26.3,15.8,64,6.4,17,2,0,0,0,0,0,0,0,0,0,0,1,0,2010
Randy Moss,TEN,8,28,63,393,24.6,14,37,2.5,20,5,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Deon Butler,SEA,13,36,70,385,29.6,10.7,63,3.3,20,4,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Emmanuel Sanders,PIT,13,28,50,376,28.9,13.4,35,3,18,2,25,628,25.1,48,0,4,60,15,38,0,0,0,2010
Legedu Naanee,SDG,10,23,46,371,37.1,16.1,59,4.7,20,1,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Darrius Heyward-Bey,OAK,15,26,65,366,24.4,14.1,69,4.2,17,1,0,0,0,0,0,0,0,0,0,0,1,1,2010
Blair White,IND,13,36,57,355,27.3,9.9,33,2.2,24,5,0,0,NA,0,0,10,80,8,18,0,0,0,2010
Brandon Stokley,SEA,11,31,43,354,32.2,11.4,36,3.1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
David Nelson,BUF,15,31,47,353,23.5,11.4,37,2.7,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2010
Chansi Stuckey,CLE,16,40,63,346,21.6,8.7,25,5.1,21,0,0,0,NA,0,0,2,5,2.5,5,0,2,1,2010
Andre Caldwell,CIN,15,25,37,345,23,13.8,53,4.5,16,0,3,79,26.3,32,0,1,0,0,0,0,0,0,2010
Laurent Robinson,STL,14,34,75,344,24.6,10.1,32,2.9,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2010
Brian Robiskie,CLE,14,29,49,310,22.1,10.7,46,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,2010
Andre Roberts,ARI,15,24,49,307,20.5,12.8,74,5.8,10,2,14,326,23.3,47,0,35,263,7.5,25,0,1,0,2010
Mark Clayton,STL,5,23,42,306,61.2,13.3,39,4.2,15,2,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Danario Alexander,STL,8,20,37,306,38.3,15.3,46,6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
Harry Douglas,ATL,16,22,53,294,18.4,13.4,46,5.8,15,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Josh Cribbs,CLE,15,23,39,292,19.5,12.7,65,6.2,11,1,40,814,20.4,37,0,20,168,8.4,17,0,2,0,2010
Early Doucet,ARI,10,26,59,291,29.1,11.2,36,3.7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
Demaryius Thomas,DEN,10,22,39,283,28.3,12.9,31,6.5,15,2,16,398,24.9,65,0,0,0,NA,0,0,2,1,2010
Sidney Rice,MIN,6,17,42,280,46.7,16.5,46,2.6,14,2,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Jerome Simpson,CIN,5,20,25,277,55.4,13.9,59,4.5,14,3,0,0,NA,0,0,0,0,NA,0,0,2,2,2010
Justin Gage,TEN,11,20,43,266,24.2,13.3,30,3.2,14,1,1,2,2,2,0,0,0,NA,0,0,0,0,2010
Seyi Ajirotutu,SDG,10,13,23,262,26.2,20.2,55,5.9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,2010
Buster Davis,SDG,7,21,39,259,37,12.3,49,4.9,14,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Antwaan Randle El,PIT,16,22,39,253,15.8,11.5,34,2.4,15,0,0,0,NA,0,0,14,56,4,15,0,0,0,2010
Bernard Berrian,MIN,14,28,54,252,18,9,30,3.2,14,0,0,0,NA,0,0,3,2,0.7,2,0,0,0,2010
Micheal Spurlock,TAM,16,17,33,250,15.6,14.7,43,2,12,2,44,1129,25.7,89,1,28,193,6.9,23,0,0,0,2010
Jason Hill,SFO,2,11,21,248,31,22.5,48,4.1,9,1,1,30,30,30,0,0,0,NA,0,0,0,0,2010
Vincent Jackson,SDG,5,14,24,248,49.6,17.7,58,4.1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,2010
Greg Camarillo,MIN,16,20,34,240,15,12,31,4.8,12,1,0,0,NA,0,0,39,359,9.2,52,0,0,0,2010
Sammie Stroughter,TAM,12,24,40,239,19.9,10,27,4.5,13,0,3,79,26.3,30,0,1,0,0,0,0,0,0,2010
Golden Tate,SEA,11,21,39,227,20.6,10.8,52,6,8,0,1,10,10,10,0,16,202,12.6,63,0,0,0,2010
Derek Hagan,NYG,7,24,43,223,31.9,9.3,17,1.3,15,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Damian Williams,TEN,16,16,28,219,13.7,13.7,39,3.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Donald Jones,BUF,15,18,41,213,14.2,11.8,40,5.7,8,1,6,120,20,31,0,0,0,NA,0,0,0,0,2010
Chris Chambers,KAN,13,22,43,213,16.4,9.7,26,2,13,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Bryant Johnson,DET,14,18,49,210,15,11.7,24,3.8,11,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Dexter McCluster,KAN,11,21,39,209,19,10,31,8.4,11,1,26,527,20.3,36,0,13,202,15.5,94,1,1,1,2010
Greg Lewis,MIN,13,17,36,197,15.2,11.6,33,4.9,8,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Joey Galloway,WAS,10,12,38,173,17.3,14.4,62,1.7,9,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Kelley Washington,SDG,8,13,14,173,21.6,13.3,36,7.4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
Antonio Brown,PIT,9,16,19,167,18.6,10.4,26,6.9,10,0,17,397,23.4,89,1,19,110,5.8,21,0,0,0,2010
Brian Finneran,ATL,16,19,31,166,10.4,8.7,21,2.4,11,3,1,18,18,18,0,0,0,NA,0,0,0,0,2010
Ted Ginn Jr.,SFO,13,12,35,163,12.5,13.6,37,1.5,6,1,47,992,21.1,61,0,24,321,13.4,78,1,0,0,2010
Ruvell Martin,SEA,5,7,9,158,31.6,22.6,61,8.3,6,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Terrance Copper,KAN,16,18,28,157,9.8,8.7,20,4.1,9,0,2,26,13,17,0,0,0,NA,0,0,0,0,2010
Devin Aromashodu,CHI,14,10,24,149,10.6,14.9,34,5.1,8,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Naaman Roosevelt,BUF,6,9,17,139,23.2,15.4,30,4.4,7,0,2,31,15.5,16,0,0,0,NA,0,0,0,0,2010
Marlon Moore,MIA,9,6,19,128,14.2,21.3,57,12.8,4,1,1,34,34,34,0,0,0,NA,0,0,0,0,2010
David Clowney,NYJ,3,7,16,124,9.5,17.7,31,6.4,4,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Sam Hurd,DAL,15,14,23,120,8,8.6,13,5.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Max Komar,ARI,8,12,22,117,14.6,9.8,20,3.3,6,0,0,0,NA,0,0,5,31,6.2,9,0,1,1,2010
