Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Lng,YAC,Rec.1stD,Rec.TD,KR,KR.Yds,KR.Avg,KR.Long,KR.TD,PR,PR.Yds,PR.Avg,PR.Long,PR.TD,Fum,FumL,year
 Jordy Nelson,GNB,16,68,NA,1263,78.9,18.6,93,6.4,47,15,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Brandon Marshall,MIA,16,81,NA,1214,75.9,15,65,4.2,53,6,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Mike Wallace,PIT,16,72,NA,1193,74.6,16.6,95,6.8,54,8,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Hakeem Nicks,NYG,15,76,NA,1192,79.5,15.7,68,4.8,54,7,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Dwayne Bowe,KAN,16,81,NA,1159,72.4,14.3,52,4.5,57,5,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Marques Colston,NOR,14,80,NA,1143,81.6,14.3,50,3.6,55,8,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Antonio Brown,PIT,16,69,NA,1108,69.3,16.1,79,5,57,2,27,737,27.3,52,0,30,325,10.8,60,1,0,0,2011
 Vincent Jackson,SDG,16,60,NA,1106,69.1,18.4,58,3.9,54,9,0,0,0,0,0,0,0,0,0,0,0,0,2011
 A.J. Green,CIN,15,65,NA,1057,70.5,16.3,58,4.5,43,7,0,0,0,0,0,0,0,0,0,0,1,0,2011
 Nate Washington,TEN,16,74,NA,1023,63.9,13.8,57,4.9,47,7,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Stevie Johnson,BUF,16,76,NA,1004,62.8,13.2,55,4.5,45,7,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Darrius Heyward-Bey,OAK,15,64,NA,975,65,15.2,58,4.5,44,4,0,0,0,0,0,0,0,0,0,0,1,1,2011
 Percy Harvin,MIN,16,87,NA,967,60.4,11.1,52,6.5,45,6,16,520,32.5,104,1,0,0,NA,0,0,2,2,2011
 Brandon Lloyd,DEN,4,70,NA,966,64.4,13.8,44,2.2,46,5,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 DeSean Jackson,PHI,15,58,NA,961,64.1,16.6,62,4.3,39,4,1,7,7,7,0,17,114,6.7,51,0,0,0,2011
 Reggie Wayne,IND,16,75,NA,960,60,12.8,56,3.9,50,4,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Julio Jones,ATL,13,54,NA,959,73.8,17.8,80,7.9,34,8,0,0,0,0,0,0,0,0,0,0,1,1,2011
 Greg Jennings,GNB,13,67,NA,949,73,14.2,79,4.8,43,9,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Pierre Garcon,IND,16,70,NA,947,59.2,13.5,87,5.4,42,6,0,0,NA,0,0,16,44,2.8,20,0,2,2,2011
 Jabar Gaffney,WAS,16,68,NA,947,59.2,13.9,45,2.9,50,5,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Dez Bryant,DAL,15,63,NA,928,61.9,14.7,50,5,48,9,3,55,18.3,26,0,15,103,6.9,20,0,1,1,2011
 Anquan Boldin,BAL,14,57,NA,887,63.4,15.6,56,4.6,44,3,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Michael Crabtree,SFO,15,72,NA,874,58.3,12.1,52,5.2,40,4,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Jeremy Maclin,PHI,13,63,NA,859,66.1,13.6,59,4.5,43,5,0,0,NA,0,0,4,29,7.3,11,0,1,1,2011
 Laurent Robinson,DAL,14,54,NA,858,61.3,15.9,74,5,36,11,0,0,0,0,0,0,0,0,0,0,1,0,2011
 Malcom Floyd,SDG,12,43,NA,856,71.3,19.9,52,4.7,41,5,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Torrey Smith,BAL,16,50,NA,841,52.6,16.8,74,5,34,7,1,24,24,24,0,0,0,NA,0,0,1,0,2011
 Doug Baldwin,SEA,16,51,NA,788,49.3,15.5,55,6.3,40,4,1,37,37,37,0,0,0,NA,0,0,0,0,2011
 Steve Breaston,KAN,16,61,NA,785,49.1,12.9,43,5.6,39,2,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Mike Williams,TAM,16,65,NA,771,48.2,11.9,42,3.8,41,3,0,0,0,0,0,0,0,0,0,0,2,2,2011
 Nate Burleson,DET,16,73,NA,757,47.3,10.4,47,5.8,36,3,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Johnny Knox,CHI,14,37,NA,727,51.9,19.6,81,4.5,31,2,15,397,26.5,56,0,1,9,9,9,0,1,1,2011
 Jerome Simpson,CIN,16,50,NA,725,45.3,14.5,84,5.2,34,4,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Greg Little,CLE,16,61,NA,709,44.3,11.6,76,4.1,35,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Deion Branch,NWE,15,51,NA,702,46.8,13.8,63,6.7,37,5,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Early Doucet,ARI,16,54,NA,689,43.1,12.8,70,6.7,35,5,0,0,0,0,0,0,0,0,0,0,1,0,2011
 Jason Avant,PHI,16,52,NA,679,42.4,13.1,35,3.7,33,1,0,0,NA,0,0,0,0,NA,0,0,2,2,2011
 David Nelson,BUF,16,61,NA,658,41.1,10.8,35,3.7,32,5,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Santonio Holmes,NYJ,16,51,NA,654,40.9,12.8,38,3.9,34,8,0,0,NA,0,0,0,0,NA,0,0,2,1,2011
 James Jones,GNB,16,38,NA,635,39.7,16.7,70,7.6,27,7,0,0,0,0,0,0,0,0,0,0,1,0,2011
 Lance Moore,NOR,14,52,NA,627,44.8,12.1,47,3,35,8,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Robert Meachem,NOR,16,40,NA,620,38.8,15.5,67,2.8,29,6,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Denarius Moore,OAK,13,33,NA,618,47.5,18.7,78,4.4,26,5,2,37,18.5,20,0,25,216,8.6,34,0,0,0,2011
 Brandon LaFell,CAR,16,36,NA,613,38.3,17,91,6.2,23,3,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Eric Decker,DEN,16,44,NA,612,38.3,13.9,56,4.4,29,8,2,50,25,34,0,6,133,22.2,90,1,1,1,2011
 Plaxico Burress,NYJ,16,45,NA,612,38.3,13.6,30,3.5,38,8,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Titus Young,DET,16,48,NA,607,37.9,12.6,57,3.1,33,6,0,0,0,0,0,0,0,0,0,0,1,0,2011
 Damian Williams,TEN,15,45,NA,592,39.5,13.2,54,5.1,27,5,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Andre Roberts,ARI,16,51,NA,586,36.6,11.5,45,4.7,29,2,2,33,16.5,21,0,2,-3,-1.5,-1,0,1,0,2011
 Santana Moss,WAS,12,46,NA,584,48.7,12.7,49,4.4,35,4,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Miles Austin,DAL,10,43,NA,579,57.9,13.5,53,4.7,31,7,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Preston Parker,TAM,16,40,NA,554,34.6,13.9,51,7.7,25,3,20,439,22,45,0,23,210,9.1,34,0,1,1,2011
 Demaryius Thomas,DEN,11,32,NA,551,50.1,17.2,47,4,24,4,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Brian Hartline,MIA,16,35,NA,549,34.3,15.7,41,2.9,30,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Davone Bess,MIA,16,51,NA,537,33.6,10.5,41,4.5,25,3,1,0,0,0,0,37,442,11.9,25,0,2,2,2011
 Mario Manningham,NYG,12,39,NA,523,43.6,13.4,47,2.9,25,4,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Joshua Cribbs,CLE,16,41,NA,518,32.4,12.6,45,5.4,27,4,39,974,25,63,0,34,388,11.4,84,1,0,0,2011
 Austin Collie,IND,16,54,NA,514,32.1,9.5,27,4.1,35,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Jacoby Jones,HOU,16,31,NA,512,32,16.5,80,4.9,23,2,0,0,NA,0,0,49,518,10.6,79,1,0,0,2011
 Roy Williams,CHI,15,37,NA,507,33.8,13.7,25,3.1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Devery Henderson,NOR,16,32,NA,503,31.4,15.7,79,5.3,22,2,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Harry Douglas,ATL,16,39,NA,498,31.1,12.8,49,6.4,20,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Andre Johnson,HOU,7,33,NA,492,70.3,14.9,50,4.1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Sidney Rice,SEA,9,32,NA,484,53.8,15.1,52,4.3,19,2,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Kevin Walter,HOU,15,39,NA,474,31.6,12.2,41,3.6,26,3,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Lavelle Hawkins,TEN,16,47,NA,470,29.4,10,32,4.4,23,1,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Devin Aromashodu,MIN,16,26,NA,468,29.3,18,60,5.3,21,1,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Legedu Naanee,CAR,15,44,NA,467,31.1,10.6,28,4,20,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Michael Jenkins,MIN,11,38,NA,466,42.4,12.3,72,3.1,23,3,0,0,NA,0,0,0,0,NA,0,0,2,2,2011
 Donald Driver,GNB,16,37,NA,445,27.8,12,35,3.9,20,6,2,5,2.5,5,0,0,0,NA,0,0,0,0,2011
 Arrelious Benn,TAM,14,30,NA,441,31.5,14.7,65,6.9,15,3,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Ben Obomanu,SEA,16,37,NA,436,27.3,11.8,55,3.5,16,2,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Danario Alexander,STL,10,26,NA,431,43.1,16.6,68,5.5,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Brandon Gibson,STL,15,36,NA,431,28.7,12,34,3.2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Mike Thomas,JAC,15,44,NA,415,27.7,9.4,47,4.4,20,1,0,0,NA,0,0,19,88,4.6,28,0,1,0,2011
 Dezmon Briscoe,TAM,16,35,NA,387,24.2,11.1,46,3,20,6,1,12,12,12,0,0,0,NA,0,0,0,0,2011
 Mohamed Massaquoi,CLE,14,31,NA,384,27.4,12.4,56,2.5,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Golden Tate,SEA,16,35,NA,382,23.9,10.9,33,4.6,16,3,0,0,NA,0,0,1,0,0,0,0,1,0,2011
 Earl Bennett,CHI,11,24,NA,381,34.6,15.9,49,5.7,14,1,1,9,9,9,0,1,7,7,7,0,1,1,2011
 Hines Ward,PIT,15,46,NA,381,25.4,8.3,31,4.2,20,2,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Randall Cobb,GNB,15,25,NA,375,25,15,61,7.8,15,1,34,941,27.7,108,1,26,295,11.3,80,1,0,0,2011
 Devin Hester,CHI,16,26,NA,369,23.1,14.2,53,6.5,15,1,33,723,21.9,98,1,28,454,16.2,82,2,1,0,2011
 Jason Hill,JAC,10,25,NA,367,36.7,14.7,74,5,17,3,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Vincent Brown,SDG,14,19,NA,329,23.5,17.3,31,4.2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Andre Caldwell,CIN,13,37,NA,317,24.4,8.6,49,3,15,3,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Riley Cooper,PHI,16,16,NA,315,19.7,19.7,58,3.8,13,1,1,16,16,16,0,0,0,NA,0,0,0,0,2011
 Jeremy Kerley,NYJ,14,29,NA,314,22.4,10.8,38,3.8,19,1,1,15,15,15,0,29,317,10.9,53,0,0,0,2011
 Donte' Stallworth,WAS,11,22,NA,309,28.1,14,51,5.2,15,2,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Jarett Dillard,JAC,14,29,NA,292,20.9,10.1,25,1.7,16,1,0,0,NA,0,0,3,10,3.3,5,0,0,0,2011
 Kenny Britt,TEN,3,17,NA,289,96.3,17,80,8.4,14,3,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Emmanuel Sanders,PIT,11,22,NA,288,26.2,13.1,32,7,17,2,5,93,18.6,25,0,3,22,7.3,10,0,0,0,2011
 Jacoby Ford,OAK,8,19,NA,279,34.9,14.7,41,7.7,14,1,11,341,31,101,1,0,0,NA,0,0,2,1,2011
 Chad Johnson,NWE,15,15,NA,276,18.4,18.4,53,3.4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Dane Sanzenbacher,CHI,16,27,NA,276,17.3,10.2,22,2.2,16,3,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Chaz Schilens,OAK,15,23,NA,271,18.1,11.8,30,2.1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Jordan Norwood,CLE,14,23,NA,268,19.1,11.7,51,3.2,15,1,0,0,NA,0,0,4,35,8.8,14,0,0,0,2011
 Matthew Willis,DEN,16,18,NA,267,16.7,14.8,42,5.8,15,1,8,163,20.4,29,0,1,0,0,0,0,0,0,2011
 Greg Salas,STL,6,27,NA,264,44,9.8,21,8.6,11,0,0,0,NA,0,0,2,29,14.5,29,0,2,0,2011
 Andrew Hawkins,CIN,13,23,NA,263,20.2,11.4,26,6.6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Naaman Roosevelt,BUF,10,16,NA,257,25.7,16.1,60,8,11,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Austin Pettis,STL,12,27,NA,256,21.3,9.5,35,3.6,14,0,3,62,20.7,24,0,15,139,9.3,39,0,0,0,2011
 Jon Baldwin,KAN,11,21,NA,254,23.1,12.1,39,1.9,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Derek Hagan,BUF,4,24,NA,252,25.2,10.5,29,1.8,15,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Patrick Crayton,SDG,14,23,NA,248,17.7,10.8,26,5.1,17,1,0,0,NA,0,0,22,202,9.2,31,0,1,0,2011
 Louis Murphy,OAK,11,15,NA,241,21.9,16.1,47,5.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Kyle Williams,SFO,13,20,NA,241,18.5,12.1,56,5.2,14,3,4,104,26,33,0,2,41,20.5,36,0,0,0,2011
 Brad Smith,BUF,15,23,NA,240,16,10.4,36,5.1,10,1,15,282,18.8,28,0,0,0,NA,0,0,0,0,2011
 Jerricho Cotchery,PIT,13,16,NA,237,18.2,14.8,36,4.2,13,2,1,19,19,19,0,0,0,NA,0,0,0,0,2011
 Mike Williams,SEA,12,18,NA,236,19.7,13.1,55,3.1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Donald Jones,BUF,8,23,NA,231,28.9,10,48,3.3,9,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Ted Ginn Jr.,SFO,14,19,NA,220,15.7,11.6,26,2.5,11,0,29,800,27.6,102,1,38,466,12.3,55,1,0,0,2011
 Josh Morgan,SFO,5,15,NA,220,44,14.7,30,6.9,12,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Braylon Edwards,SFO,9,15,NA,181,20.1,12.1,24,3.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Derrick Mason,NYJ,5,19,NA,170,14.2,8.9,30,2.6,11,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Jesse Holley,DAL,16,7,NA,169,10.6,24.1,77,8.6,6,0,0,0,NA,0,0,1,15,15,15,0,0,0,2011
 Kevin Ogletree,DAL,14,15,NA,164,11.7,10.9,33,3.7,11,0,6,114,19,25,0,2,35,17.5,25,0,1,1,2011
 Leonard Hankerson,WAS,4,13,NA,163,40.8,12.5,23,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Chastin West,JAC,12,13,NA,163,13.6,12.5,23,3.8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Eddie Royal,DEN,12,19,NA,155,12.9,8.2,26,3.7,8,1,3,47,15.7,20,0,12,194,16.2,85,1,0,0,2011
 Mike Sims-Walker,STL,4,12,NA,150,25,12.5,33,2.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 T.J. Houshmandzadeh,OAK,9,11,NA,146,16.2,13.3,40,3.5,5,1,0,0,NA,0,0,1,0,0,0,0,0,0,2011
 Terrence Austin,WAS,13,12,NA,137,10.5,11.4,32,2.3,6,0,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Steve Smith,PHI,9,11,NA,124,13.8,11.3,20,3,5,1,0,0,NA,0,0,1,0,0,0,0,0,0,2011
 Greg Camarillo,MIN,13,9,NA,121,9.3,13.4,23,2,6,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Terrance Copper,KAN,16,8,NA,114,7.1,14.3,43,5.5,6,0,1,12,12,12,0,0,0,NA,0,0,0,0,2011
 Sam Hurd,CHI,12,8,NA,109,9.1,13.6,28,4.5,5,0,1,24,24,24,0,0,0,NA,0,0,1,0,2011
 Ricardo Lockette,SEA,2,2,NA,105,52.5,52.5,61,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Anthony Armstrong,WAS,14,7,NA,103,7.4,14.7,50,1.3,4,2,1,28,28,28,0,0,0,NA,0,0,0,0,2011
 Patrick Turner,NYJ,15,8,NA,96,6.4,12,25,3.3,6,1,1,-1,-1,-1,0,0,0,NA,0,0,0,0,2011
 Ramses Barden,NYG,8,9,NA,94,11.8,10.4,26,3.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Bernard Berrian,MIN,5,7,NA,91,18.2,13,30,0.4,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Eric Weems,ATL,16,11,NA,90,5.6,8.2,18,2.7,5,0,24,563,23.5,37,0,32,315,9.8,42,0,0,0,2011
 Bryant Johnson,HOU,16,6,NA,90,5.6,15,40,1.8,4,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Keary Colbert,KAN,7,9,NA,89,12.7,9.9,19,4,4,0,0,0,NA,0,0,0,0,NA,0,0,1,0,2011
 Ruvell Martin,BUF,14,7,NA,82,5.9,11.7,28,4.7,5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 David Anderson,WAS,4,7,NA,79,13.2,11.3,23,2.4,5,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Lee Evans,BAL,9,4,NA,74,8.2,18.5,32,3.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Rashied Davis,DET,11,4,NA,63,5.7,15.8,22,9,4,0,2,34,17,18,0,0,0,NA,0,0,0,0,2011
 Sammie Stroughter,TAM,6,4,NA,52,8.7,13,29,5.8,2,0,20,540,27,78,0,0,0,NA,0,0,0,0,2011
 Deon Butler,SEA,5,6,NA,51,10.2,8.5,15,1.7,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Domenik Hixon,NYG,2,4,NA,50,25,12.5,22,1.8,3,1,0,0,NA,0,0,3,31,10.3,18,0,0,0,2011
 LaQuan Williams,BAL,12,4,NA,46,3.8,11.5,15,2,3,0,5,109,21.8,37,0,1,0,0,0,0,0,0,2011
 Matthew Slater,NWE,16,1,NA,46,2.9,46,46,5,1,0,4,68,17,22,0,0,0,NA,0,0,0,0,2011
 Donnie Avery,TEN,8,3,NA,45,5.6,15,23,8,3,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Danny Amendola,STL,1,5,NA,45,45,9,18,3.6,3,0,0,0,NA,0,0,1,0,0,0,0,0,0,2011
 Kassim Osgood,JAC,12,5,NA,42,3.5,8.4,19,3,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Chansi Stuckey,ARI,9,4,NA,39,4.3,9.8,12,2.5,2,0,0,0,NA,0,0,0,0,NA,0,0,1,1,2011
 Taylor Price,NWE,3,2,NA,39,7.8,19.5,21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Stephen Burton,MIN,3,2,NA,38,12.7,19,21,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Devin Thomas,NYG,16,3,NA,37,2.3,12.3,14,4.7,2,0,25,607,24.3,40,0,0,0,NA,0,0,0,0,2011
 DeMarco Sampson,ARI,12,3,NA,36,3,12,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Jerheme Urban,KAN,6,4,NA,35,5.8,8.8,24,2,1,1,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Julian Edelman,NWE,13,4,NA,34,2.6,8.5,11,2.3,0,0,12,284,23.7,37,0,28,300,10.7,72,1,0,0,2011
 Adrian Arrington,NOR,4,2,NA,31,7.8,15.5,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Carlton Mitchell,CLE,11,3,NA,31,2.8,10.3,19,1.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Tiquan Underwood,NWE,6,3,NA,30,5,10,13,2.7,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Kris Durham,SEA,3,3,NA,30,10,10,12,0.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Cecil Shorts,JAC,10,2,NA,30,3,15,25,2,2,1,4,82,20.5,23,0,12,50,4.2,27,0,0,0,2011
 Bryan Walters,SDG,4,3,NA,27,6.8,9,13,5.3,2,0,0,0,NA,0,0,8,45,5.6,13,0,0,0,2011
 Ryan Whalen,CIN,4,4,NA,27,6.8,6.8,13,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Mark Clayton,STL,2,3,NA,26,13,8.7,12,1.3,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Brian Robiskie,CLE,6,3,NA,25,4.2,8.3,14,1.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Marc Mariani,TEN,16,5,NA,24,1.5,4.8,6,3.8,0,0,32,748,23.4,49,0,46,490,10.7,79,1,0,0,2011
 Chad Hall,PHI,7,3,NA,20,2.9,6.7,16,3.7,1,1,2,43,21.5,24,0,7,76,10.9,30,0,0,0,2011
 Clyde Gates,MIA,15,2,NA,19,1.3,9.5,11,0.5,1,0,34,843,24.8,77,0,3,32,10.7,17,0,0,0,2011
 Roscoe Parrish,BUF,2,1,NA,16,8,16,16,16,1,0,0,0,NA,0,0,5,46,9.2,28,0,0,0,2011
 Brett Swain,SFO,5,2,NA,15,3,7.5,9,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Jordan Shipley,CIN,2,4,NA,14,7,3.5,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011
 Micheal Spurlock,TAM,12,2,NA,13,1.1,6.5,7,2,0,0,2,33,16.5,21,0,6,21,3.5,15,0,0,0,2011
 Emmanuel Arceneaux,MIN,3,1,NA,10,3.3,10,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Brandon Banks,WAS,16,1,NA,10,0.6,10,10,13,1,0,51,1174,23,47,0,36,328,9.1,55,0,0,0,2011
 Maurice Stovall,DET,15,1,NA,8,0.5,8,8,12,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Nick Miller,OAK,2,1,NA,8,1,8,8,11,0,0,6,104,17.3,23,0,10,147,14.7,88,1,0,0,2011
 Brandon Stokley,NYG,2,1,NA,7,3.5,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Seyi Ajirotutu,CAR,14,1,NA,4,0.3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Richard Goodman,SDG,16,0,NA,0,0,NA,0,NA,0,0,34,936,27.5,105,1,0,0,NA,0,0,0,0,2011
 Kerry Meier,ATL,12,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 David Reed,BAL,11,0,NA,0,0,NA,0,NA,0,0,18,534,29.7,77,0,0,0,NA,0,0,0,0,2011
 Armanti Edwards,CAR,16,0,NA,0,0,NA,0,NA,0,0,3,35,11.7,17,0,32,176,5.5,17,0,0,0,2011
 Jeff Maehl,HOU,3,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Michael Clayton,NYG,5,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Joe Hastings,SFO,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Jamar Newsome,JAC,2,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Anthony Gonzalez,IND,8,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Quan Cosby,DEN,10,0,NA,0,0,NA,0,NA,0,0,17,457,26.9,63,0,27,269,10,30,0,0,0,2011
 Jaymar Johnson,ARI,1,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Tandon Doss,BAL,5,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Stephen Williams,ARI,2,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Courtney Roby,NOR,16,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Arnaz Battle,PIT,10,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Roberto Wallace,MIA,2,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Max Komar,CHI,1,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Brandon Tate,CIN,16,0,NA,0,0,NA,0,NA,0,0,42,998,23.8,45,0,51,543,10.6,56,1,0,0,2011
 Marlon Moore,MIA,6,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
 Blair White,IND,7,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,7,22,3.1,13,0,0,0,2011
 Jerrel Jernigan,NYG,8,0,NA,0,0,NA,0,NA,0,0,8,186,23.3,31,0,0,0,NA,0,0,0,0,2011
 Jeremy Horne,KAN,9,0,NA,0,0,NA,0,NA,0,0,2,44,22,24,0,0,0,NA,0,0,0,0,2011
 Dwayne Harris,DAL,7,0,NA,0,0,0,0,0,0,0,8,231,28.9,51,0,15,80,5.3,14,0,0,0,2011
 Trindon Holliday,HOU,1,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,2011
 Kealoha Pilares,CAR,12,0,NA,0,0,0,0,0,0,0,23,590,25.7,101,1,0,0,NA,0,0,0,0,2011
Calvin Johnson,DET,16,122,204,1964,122.8,16.1,53,4.4,92,5,0,0,0,0,0,0,0,0,0,0,3,3,2012
Andre Johnson,HOU,16,112,162,1598,99.9,14.3,60,5,79,4,0,0,0,0,0,0,0,0,0,0,0,0,2012
Brandon Marshall,CHI,16,118,192,1508,94.3,12.8,56,3.1,75,11,0,0,NA,0,0,0,0,NA,0,0,2,0,2012
Demaryius Thomas,DEN,16,94,141,1434,89.6,15.3,71,6,60,10,0,0,NA,0,0,0,0,NA,0,0,3,3,2012
