Name,Team,G,Rec,Rec Tgt,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC,Rec 1stD,Rec TD,KR,KR Yds,KR Avg,KR Lng,KR TD,PR,PR Yds,PR Avg,PR Long,PR TD,Fum,FumL
Johnnie Lee Higgins,OAK,13,10,30,103,7.9,10.3,26,1.9,5,0,0,0,,0,0,17,123,7.2,53,0,0,0
Stephen Williams,ARI,11,9,23,101,9.2,11.2,17,4.1,5,0,1,14,14.0,14,0,0,0,,0,0,0,0
Dominique Zeigler,SFO,11,9,15,98,8.9,10.9,20,2.0,5,0,0,0,,0,0,0,0,,0,0,0,0
Dezmon Briscoe,TAM,2,6,7,93,46.5,15.5,54,6.8,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Julian Edelman,NWE,15,7,14,86,5.7,12.3,40,14.6,3,0,0,0,,0,0,21,321,15.3,94,1,0,0
Rashied Davis,CHI,16,9,14,84,5.3,9.3,21,3.6,6,1,5,70,14.0,32,0,0,0,,0,0,0,0
Donte' Stallworth,BAL,8,2,5,82,10.3,41.0,67,14.0,2,0,0,0,,0,0,0,0,,0,0,1,1
Adrian Arrington,NOR,1,7,9,79,79.0,11.3,17,4.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Swain,GNB,16,6,9,72,4.5,12.0,31,9.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Gonzalez,IND,2,5,9,67,33.5,13.4,34,3.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramses Barden,NYG,6,5,7,64,10.7,12.8,26,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardy Gilyard,STL,11,6,16,63,5.7,10.5,21,2.3,4,0,16,356,22.3,34,0,0,0,,0,0,0,0
Roberto Wallace,MIA,12,6,10,62,5.2,10.3,19,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Weems,ATL,16,6,6,61,3.8,10.2,18,3.7,3,0,40,1100,27.5,102,1,18,230,12.8,55,1,0,0
Lavelle Hawkins,TEN,6,5,6,61,10.2,12.2,24,1.4,3,0,0,0,,0,0,0,0,,0,0,0,0
Kassim Osgood,JAC,16,6,16,60,3.8,10.0,24,2.7,4,1,0,0,,0,0,1,0,0.0,0,0,0,0
Terrence Austin,WAS,5,3,5,47,9.4,15.7,28,3.7,3,0,1,15,15.0,15,0,0,0,,0,0,0,0
Brad Smith,NYJ,16,4,7,44,2.8,11.0,23,3.3,2,0,50,1432,28.6,97,2,0,0,,0,0,1,1
Preston Parker,TAM,9,4,9,42,4.7,10.5,21,7.8,3,0,10,178,17.8,37,0,0,0,,0,0,0,0
Taylor Price,NWE,1,3,4,41,41.0,13.7,18,8.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Miller,OAK,9,3,4,40,4.4,13.3,32,1.3,1,0,2,37,18.5,27,0,35,257,7.3,46,0,0,0
Brandon James,IND,3,6,11,40,13.3,6.7,17,2.3,3,0,14,229,16.4,26,0,7,35,5.0,14,0,0,0
Dwayne Jarrett,CAR,3,2,5,40,13.3,20.0,21,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaz Schilens,OAK,5,5,9,40,8.0,8.0,11,3.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Ogletree,DAL,6,3,6,34,5.7,11.3,19,2.7,2,0,6,109,18.2,31,0,0,0,,0,0,0,0
Derrick Williams,DET,7,3,5,30,4.3,10.0,17,3.0,1,0,0,0,,0,0,0,0,,0,0,0,0
Patrick Turner,NYJ,5,2,2,26,5.2,13.0,21,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Goodman,SDG,3,1,2,25,8.3,25.0,25,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Michael Clayton,NYG,6,2,4,19,3.2,9.5,14,1.0,1,0,0,0,,0,0,0,0,,0,0,0,0
Hank Baskett,MIN,6,1,4,18,2.3,18.0,18,7.0,1,0,0,0,,0,0,0,0,,0,0,0,0
Yamon Figurs,CLE,1,2,2,17,8.5,8.5,11,4.0,1,0,5,105,21.0,25,0,1,10,10.0,10,0,0,0
Matt Willis,DEN,6,1,2,17,2.8,17.0,17,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quan Cosby,CIN,16,2,2,16,1.0,8.0,11,3.0,1,0,3,44,14.7,18,0,30,225,7.5,20,0,0,0
Brandon Banks,WAS,13,2,5,10,0.8,5.0,15,0.0,1,0,46,1155,25.1,96,1,38,431,11.3,53,0,0,0
Kyle Williams,SFO,4,1,1,8,2.0,8.0,8,3.0,0,0,4,82,20.5,30,0,3,16,5.3,9,0,0,0
Paul Hubbard,BUF,1,1,3,8,8.0,8.0,8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Aiken,CLE,3,1,1,7,2.3,7.0,7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Curtis,MIA,2,1,2,6,3.0,6.0,6,0.0,0,0,0,0,,0,0,0,0,,0,0,0,0
Manuel Johnson,DAL,2,1,5,6,3.0,6.0,6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Calhoun,NYG,9,1,2,4,0.4,4.0,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Banks,SDG,2,1,3,2,1.0,2.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Thomas,NYG,4,0,1,0,0.0,,0,,0,0,15,399,26.6,42,0,0,0,,0,0,0,0
Marcus Smith,BAL,14,0,0,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
