Name,Team,G,Rush ,Rush Yds,Rush YG,Rush Avg,Rush TD,Rec ,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC ,Rec 1stD,Rec TD,Fum ,FumL 
Joe McKnight,NYJ,15,43,134,8.9,3.1,0,13,139,9.3,10.7,27,9.4,7,0,0,0
Deji Karim,JAC,12,63,130,10.8,2.1,0,14,120,10,8.6,20,10.8,4,0,0,0
Jonathan Dwyer,PIT,7,16,123,17.6,7.7,0,1,6,0.9,6,6,4,0,0,0,0
Marcel Reece,OAK,12,17,112,9.3,6.6,0,27,301,25.1,11.1,47,8.7,13,2,1,1
Kregg Lumpkin,TAM,16,31,105,6.6,3.4,0,41,291,18.2,7.1,16,6.1,13,0,0,0
Alfonso Smith,ARI,15,30,102,6.8,3.4,1,3,21,1.4,7,13,8.3,2,0,0,0
Dion Lewis,PHI,15,23,102,6.8,4.4,1,1,-3,-0.2,-3,-3,4,0,0,0,0
Curtis Brinkley,SDG,10,30,101,10.1,3.4,1,7,41,4.1,5.9,20,5.6,1,0,0,0
Sammy Morris,DAL,3,28,98,32.7,3.5,0,5,13,4.3,2.6,9,3.2,0,0,0,0
Jacob Hester,SDG,16,28,90,5.6,3.2,0,12,48,3,4,11,4.8,3,1,2,0
Anthony Dixon,SFO,16,29,87,5.4,3,2,1,6,0.4,6,6,6,0,0,0,0
Brian Leonard,CIN,13,17,85,6.5,5,0,22,210,16.2,9.5,37,8.9,10,0,0,0
Steve Slaton,MIA,3,24,84,14,3.5,1,3,3,0.5,1,6,3,0,0,0,0
Jamaal Charles,KAN,2,12,83,41.5,6.9,0,5,9,4.5,1.8,9,-0.4,2,1,1,1
John Kuhn,GNB,16,30,78,4.9,2.6,4,15,77,4.8,5.1,11,4.9,5,2,0,0
Jeremiah Johnson,DEN,8,14,77,9.6,5.5,0,7,62,7.8,8.9,17,8.4,3,0,0,0
Chester Taylor,ARI,12,20,77,6.4,3.9,1,14,91,7.6,6.5,17,6.6,3,0,0,0
Phillip Tanner,DAL,9,22,76,8.4,3.5,1,2,19,2.1,9.5,11,9,2,0,0,0
Taiwan Jones,OAK,10,16,73,7.3,4.6,0,2,25,2.5,12.5,30,18.5,1,0,0,0
Brandon Saine,GNB,8,18,69,8.6,3.8,0,10,69,8.6,6.9,22,7.8,1,0,0,0
Jerious Norwood,STL,9,24,61,6.8,2.5,0,0,0,0, ,0, ,0,0,0,0
Kevin Faulk,NWE,7,17,57,8.1,3.4,0,7,34,4.9,4.9,18,4.9,2,0,0,0
Shane Vereen,NWE,5,15,57,11.4,3.8,1,0,0,0, ,0, ,0,0,0,0
Mossis Madu,TAM,9,15,55,6.1,3.7,0,10,72,8,7.2,15,3.3,1,0,0,0
Lorenzo Booker,MIN,15,13,52,3.5,4,0,8,82,5.5,10.3,15,11.3,3,0,2,1
Le'Ron McClain,KAN,16,15,51,3.2,3.4,1,14,82,5.1,5.9,14,5.2,6,1,0,0
Armando Allen,CHI,2,15,48,24,3.2,0,0,0,0, ,0, ,0,0,0,0
Rock Cartwright,OAK,15,4,45,3,11.3,0,4,24,1.6,6,9,7,1,0,0,0
Spencer Larsen,DEN,16,14,44,2.8,3.1,0,9,76,4.8,8.4,16,5.8,4,0,0,0
Jamie Harper,TEN,13,17,44,3.4,2.6,1,4,32,2.5,8,21,9.8,1,0,1,1
John Conner,NYJ,16,13,44,2.8,3.4,1,2,9,0.6,4.5,9,2.5,1,0,0,0
DuJuan Harris,JAC,5,9,42,8.4,4.7,0,1,4,0.8,4,4,7,0,0,0,0
Lex Hilliard,MIA,16,16,41,2.6,2.6,1,5,49,3.1,9.8,18,8.2,2,0,0,0
John Clay,PIT,2,10,41,20.5,4.1,1,0,0,0, ,0, ,0,0,0,0
Jerome Harrison,DET,4,14,41,10.3,2.9,0,1,3,0.8,3,3,1,0,0,0,0
Montell Owens,JAC,13,10,39,3,3.9,0,2,2,0.2,1,6,4,0,0,0,0
Johnny White,BUF,12,12,38,3.2,3.2,0,1,-3,-0.3,-3,-3,0,0,0,0,0
Vonta Leach,BAL,16,12,35,2.2,2.9,0,15,69,4.3,4.6,11,5,3,0,0,0
Darrel Young,WAS,13,6,33,2.5,5.5,1,14,138,10.6,9.9,27,7.9,6,0,0,0
Stefan Logan,DET,16,9,32,2,3.6,0,1,19,1.2,19,19,23,1,0,0,0
Josh Vaughan,CAR,7,7,24,3.4,3.4,0,0,0,0, ,0, ,0,0,0,0
Ahmard Hall,TEN,12,6,24,2,4,0,9,46,3.8,5.1,10,6.1,1,0,1,1
Bilal Powell,NYJ,2,13,21,10.5,1.6,0,1,7,3.5,7,7,2,0,0,1,0
Da'Rel Scott,NYG,11,5,16,1.5,3.2,0,2,13,1.2,6.5,9,2.5,0,0,1,1
Cedric Peerman,CIN,15,3,15,1,5,0,0,0,0, ,0, ,0,0,0,0
Brock Bolen,JAC,13,2,14,1.1,7,0,2,6,0.5,3,4,0,0,0,0,0
Brit Miller,STL,12,5,14,1.2,2.8,0,3,41,3.4,13.7,20,11.7,2,0,0,0
Manase Tonga,OAK,11,1,12,1.1,12,0,3,18,1.6,6,11,5.7,1,0,0,0
Thomas Clayton,CLE,3,8,12,4,1.5,0,1,3,1,3,3,7,0,0,0,0
James Casey,HOU,14,1,11,0.8,11,0,18,260,18.6,14.4,62,9.6,11,1,0,0
Alex Green,GNB,4,3,11,2.8,3.7,0,1,6,1.5,6,6,14,1,0,0,0
Jerome Felton,IND,5,3,10,0.7,3.3,0,4,40,2.9,10,17,6.3,1,0,0,0
Owen Marecic,CLE,14,4,8,0.6,2,0,5,31,2.2,6.2,11,3.4,2,0,1,0
Bruce Miller,SFO,15,4,8,0.5,2,0,11,83,5.5,7.5,30,5.1,3,1,1,0
Anthony Allen,BAL,5,3,8,1.6,2.7,0,0,0,0, ,0, ,0,0,0,0
Michael Robinson,SEA,14,4,7,0.5,1.8,0,9,74,5.3,8.2,19,7.7,4,1,1,1
Greg Jones,JAC,16,2,7,0.4,3.5,1,4,19,1.2,4.8,10,4.5,2,0,0,0
Owen Schmitt,PHI,16,4,6,0.4,1.5,0,3,32,2,10.7,13,9.3,2,0,0,0
Jed Collins,NOR,16,4,4,0.3,1,2,11,50,3.1,4.5,14,4.8,6,2,0,0
Tony Fiammetta,DAL,10,4,4,0.4,1,0,3,39,3.9,13,15,12.3,3,0,0,0
Anthony Sherman,ARI,15,1,3,0.2,3,0,8,72,4.8,9,19,4.8,3,0,0,0
Larry Johnson,MIA,1,1,2,2,2,0,0,0,0, ,0, ,0,0,0,0
Eddie Williams,CLE,3,2,2,0.3,1,0,1,17,2.8,17,17,7,1,0,0,0
Armond Smith,CLE,3,3,2,0.7,0.7,0,0,0,0, ,0, ,0,0,0,0
Ovie Mughelli,ATL,7,2,1,0.1,0.5,0,4,25,3.6,6.3,19,5,2,2,0,0
