Name,Team,G,Rec ,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC ,Rec 1stD,Rec TD,Rush ,Rush Yds,Rush YG,Rush Avg,Rush TD,Fum ,FumL 
 Zack Pianalto,TAM,13,4,40,3.1,10,15,3.3,2,0,0,0,0, ,0,0,0
 Tom Crabtree,GNB,16,6,38,2.4,6.3,15,3.3,4,1,0,0,0, ,0,0,0
 Andrew Quarless,GNB,10,3,36,3.6,12,21,6,3,0,0,0,0, ,0,0,0
 Jeff Cumberland,NYJ,3,2,35,11.7,17.5,33,8,1,0,0,0,0, ,0,0,0
 Jordan Cameron,CLE,8,6,33,4.1,5.5,15,2.2,1,0,0,0,0, ,0,0,0
 Kory Sperry,SDG,16,1,32,2,32,32,18,1,0,0,0,0, ,0,0,0
 Weslye Saunders,PIT,16,4,29,1.8,7.3,14,1.8,3,1,0,0,0, ,0,0,0
 Kevin Brock,BUF,2,2,27,13.5,13.5,21,17.5,2,0,0,0,0, ,0,0,0
 Josh Baker,NYJ,11,3,27,2.5,9,17,4.7,2,1,0,0,0, ,0,0,0
 Anthony Becht,KAN,9,3,26,2.9,8.7,16,3.3,2,0,0,0,0, ,0,0,0
 Jim Dray,ARI,10,2,25,2.5,12.5,20,1.5,1,0,0,0,0, ,0,0,0
 Daniel Graham,TEN,16,2,25,1.6,12.5,21,3,2,1,0,0,0, ,0,0,0
 Niles Paul,WAS,13,2,25,1.9,12.5,14,0.5,2,0,1,7,0.5,7,0,0,0
 Virgil Green,DEN,15,3,24,1.6,8,9,3.7,2,0,0,0,0, ,0,0,0
 Garrett Graham,HOU,7,1,24,3.4,24,24,8,1,0,0,0,0, ,0,0,0
 John Gilmore,NOR,14,3,20,1.4,6.7,9,3.7,1,1,0,0,0, ,0,0,0
 Justin Peelle,SFO,14,1,19,1.4,19,19,6,1,0,0,0,0, ,0,0,0
 David Thomas,NOR,5,5,16,3.2,3.2,8,2.8,0,0,0,0,0, ,0,0,0
 David Ausberry,OAK,12,2,14,1.2,7,10,0.5,2,0,1,-2,-0.2,-2,0,0,0
 Richie Brockel,CAR,11,3,13,1.2,4.3,5,3.3,1,0,3,12,1.1,4,1,0,0
 D.J. Williams,GNB,13,2,13,1,6.5,7,2,0,0,0,0,0, ,0,0,0
 Lee Smith,BUF,10,4,11,1.1,2.8,6,1,0,0,0,0,0, ,0,0,0
 Anthony Hill,IND,7,2,10,1.4,5,5,3,0,0,0,0,0, ,0,0,0
 Jeron Mastrud,MIA,14,1,8,0.6,8,8,3,1,0,0,0,0, ,0,0,0
 Reggie Kelly,ATL,16,1,7,0.4,7,7,6,0,0,0,0,0, ,0,0,0
 Julius Thomas,DEN,5,1,5,1,5,5,7,0,0,0,0,0, ,0,0,0
 Allen Reisner,MIN,6,1,5,0.8,5,5,2,1,0,0,0,0, ,0,0,0
 Ryan Taylor,GNB,15,1,4,0.3,4,4,0,1,1,0,0,0, ,0,0,0
 Jim Kleinsasser,MIN,16,1,4,0.3,4,4,3,0,0,0,0,0, ,0,0,0
 Michael Higgins,NOR,2,1,4,2,4,4,2,0,0,0,0,0, ,0,0,0
 Stephen Spach,STL,10,2,2,0.2,1,3,0,0,0,0,0,0, ,0,0,0
 Richard Gordon,OAK,14,1,2,0.1,2,2,7,0,0,0,0,0, ,0,0,0
 Steve Maneri,KAN,6,1,1,0.2,1,1,2,0,0,0,0,0, ,0,0,0
 Collin Franklin,TAM,2,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Kris Wilson,BAL,15,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Dominique Byrd,SEA,1,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Martin Rucker,DAL,1,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Mike Leach,ARI,16,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Justin Snow,IND,16,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Richard Quinn,WAS,1,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Dan Gronkowski,CLE,1,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Fendi Onobun,JAC,1,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Brian Jennings,SFO,16,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Ben Hartsock,CAR,15,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 Joe Zelenka,ATL,16,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
 David Martin,BUF,3,0,0,0, ,0, ,0,0,0,0,0, ,0,0,0
