Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Rec.Lng,YAC,Rec.1stD,Rec.TD,Rush,Rush.Yds,Rush.YG,Rush.Avg,Rush.TD,Fum,FumL,year
Jermaine Gresham,CIN,15,52,83,471,31.4,9.1,27,6.9,26,4,0,0,0,NA,0,2,1,2010
Owen Daniels,HOU,11,38,68,471,42.8,12.4,31,7.6,25,2,0,0,0,NA,0,0,0,2010
Jeremy Shockey,NOR,13,41,59,408,31.4,10,31,3.1,22,3,0,0,0,NA,0,0,0,2010
Greg Olsen,CHI,16,41,69,404,25.3,9.9,39,4.2,22,5,0,0,0,NA,0,2,1,2010
Daniel Fells,STL,16,41,65,391,24.4,9.5,36,6.6,24,2,0,0,0,NA,0,0,0,2010
Tony Scheffler,DET,15,45,72,378,25.2,8.4,25,3.7,24,1,0,0,0,NA,0,1,1,2010
Jared Cook,TEN,16,29,45,361,22.6,12.4,36,5.6,18,1,0,0,0,NA,0,0,0,2010
Jimmy Graham,NOR,15,31,44,356,23.7,11.5,52,4.8,21,5,1,3,0.2,3,0,1,0,2010
Dallas Clark,IND,6,37,53,347,57.8,9.4,50,3.7,21,3,0,0,0,NA,0,0,0,2010
Delanie Walker,SFO,14,29,45,331,23.6,11.4,38,6,13,0,3,18,1.3,6,0,1,1,2010
Evan Moore,CLE,12,16,26,322,26.8,20.1,49,6.1,11,1,0,0,0,NA,0,1,1,2010
Bo Scaife,TEN,14,36,52,318,22.7,8.8,30,3.3,17,4,0,0,0,NA,0,2,1,2010
John Carlson,SEA,15,31,58,318,21.2,10.3,37,4.4,12,1,0,0,0,NA,0,0,0,2010
Fred Davis,WAS,16,21,31,316,19.8,15,71,8.4,11,3,0,0,0,NA,0,0,0,2010
Jermichael Finley,GNB,5,21,26,301,60.2,14.3,34,5.1,12,1,0,0,0,NA,0,0,0,2010
Dante Rosario,CAR,16,32,58,264,16.5,8.3,26,4.3,15,0,1,-2,-0.1,-2,0,0,0,2010
Martellus Bennett,DAL,16,33,48,260,16.3,7.9,32,5.7,12,0,0,0,0,NA,0,1,0,2010
Andrew Quarless,GNB,13,21,33,238,18.3,11.3,23,5.6,13,1,0,0,0,NA,0,1,1,2010
Randy McMichael,SDG,16,20,27,221,13.8,11.1,28,4.9,15,2,0,0,0,NA,0,0,0,2010
David Thomas,NOR,13,30,46,219,16.8,7.3,22,4.4,11,2,0,0,0,NA,0,0,0,2010
Zach Miller,JAC,15,20,26,216,14.4,10.8,52,5.3,10,1,2,9,0.6,4.5,0,0,0,2010
John Gilmore,TAM,16,13,18,160,10,12.3,30,7.6,9,1,0,0,0,NA,0,0,0,2010
Ed Dickson,BAL,15,11,23,152,10.1,13.8,58,7,5,1,0,0,0,NA,0,0,0,2010
Jim Kleinsasser,MIN,16,17,21,148,9.3,8.7,20,4.8,6,0,0,0,0,NA,0,0,0,2010
Daniel Graham,DEN,16,18,37,148,9.3,8.2,28,2.6,5,0,0,0,0,NA,0,1,0,2010
Michael Hoomanawanui,STL,8,13,22,146,18.3,11.2,36,8.7,9,3,0,0,0,NA,0,0,0,2010
Billy Bajema,STL,13,14,24,145,11.2,10.4,26,5.3,8,2,0,0,0,NA,0,1,0,2010
Ben Patrick,ARI,15,15,18,123,8.2,8.2,21,4.2,5,0,0,0,0,NA,0,1,0,2010
Craig Stevens,TEN,15,11,23,122,8.1,11.1,28,7.3,6,2,0,0,0,NA,0,0,0,2010
Jeff King,CAR,16,19,32,121,7.6,6.4,16,1.7,8,2,0,0,0,NA,0,0,0,2010
Cameron Morrah,SEA,15,9,18,117,7.8,13,36,7.6,5,0,0,0,0,NA,0,0,0,2010
Chris Baker,SEA,16,9,19,116,7.3,12.9,44,5.4,4,1,0,0,0,NA,0,0,0,2010
Travis Beckum,NYG,16,13,18,116,7.3,8.9,29,3,7,2,0,0,0,NA,0,0,0,2010
Jonathan Stupar,BUF,16,12,13,111,6.9,9.3,35,7.8,4,0,0,0,0,NA,0,1,0,2010
James Casey,HOU,16,8,14,98,6.1,12.3,33,7.9,5,0,0,0,0,NA,0,0,0,2010
Justin Peelle,ATL,13,10,15,96,7.4,9.6,15,5.4,8,1,0,0,0,NA,0,0,0,2010
Maurice Stovall,TAM,12,7,9,81,6.8,11.6,38,9.9,4,1,0,0,0,NA,0,0,0,2010
Matt Spaeth,PIT,14,9,18,80,5.7,8.9,13,4.2,4,1,0,0,0,NA,0,0,0,2010
Brandon Myers,OAK,15,12,16,80,5.3,6.7,16,3.9,4,0,0,0,0,NA,0,0,0,2010
Leonard Pope,KAN,16,10,19,76,4.8,7.6,14,3.7,7,2,0,0,0,NA,0,0,0,2010
Kory Sperry,SDG,7,4,4,73,10.4,18.3,35,10.3,3,0,0,0,0,NA,0,0,0,2010
Donald Lee,GNB,15,11,12,73,4.9,6.6,17,4.8,6,3,0,0,0,NA,0,1,1,2010
Kris Wilson,SDG,14,6,9,73,5.2,12.2,37,9.8,2,0,0,0,0,NA,0,1,1,2010
